name,description,hide_turn_zero,controllers__lastname->claimer_controller_id,controllers__lastname->holder_controller_id
Côte Ouest d’Iyo,"La porte vers l’île de Kyūshū, cette bande littorale est animée par les flux incessants de navires marchands, pêcheurs et patrouilleurs. Les criques cachent parfois des comptoirs discrets ou des avant-postes de contrebandiers. Les brumes marines y sont fréquentes, rendant les approches aussi incertaines que les intentions de ses habitants.",0,,
Montagnes d’Iyo,"Entourant le redouté mont Ishizuchi, plus haut sommet de Shikoku, ces montagnes sacrées sont le domaine des ascètes, des Yamabushi et des esprits anciens. Les chemins escarpés sont peuplés de temples isolés, de cascades énigmatiques, et d’histoires transmises à demi-mots. Nul ne traverse ces hauteurs sans y laisser un peu de son âme.",0,Tendai (天台宗),Tendai (天台宗)
Cap sud de Tosa,"Battue par les vents de l’océan Pacifique, cette pointe rocheuse est riche en minerai de fer, extrait dans la sueur et le sel. Le paysage austère dissuade les faibles, mais attire les clans ambitieux. Les tempêtes y sont violentes, et même les dragons du ciel semblent redouter ses falaises noires.",0,Chōsokabe (長宗我部),Chōsokabe (長宗我部)
Grande Baie de Kochi,"Centre de pouvoir du clan Chōsokabe, cette baie est à la fois un havre de paix et un verrou stratégique. Bordée de rizières fertiles et de ports animés, elle est défendue par des flottes aguerries et des forteresses discrètes. On dit que ses eaux reflètent les ambitions de ceux qui la contrôlent.",0,Chōsokabe (長宗我部),Chōsokabe (長宗我部)
Vallée d’Iya et d’Oboké d’Awa,"Ces vallées profondes, creusées par les torrents et le temps, abritent des plantations de thé précieuses et des villages suspendus au flanc des falaises. Peu accessibles, elles sont le refuge de ceux qui fuient la guerre, la loi ou le destin. Le thé qui y pousse a le goût amer des secrets oubliés.",0,,
Côte Est d’Awa,"Sur cette façade tournée vers le large, le clan Miyoshi établit son pouvoir entre les ports et les postes fortifiés. Bien que prospère, la région est sous tension : les vassaux y sont fiers, les ambitions grandes, et les flottes ennemies jamais loin. La mer y apporte autant de trésors que de périls.",0,Miyoshi (三好),Miyoshi (三好)
Province de Sanuki,"Plaine fertile dominée par les haras impériaux et les sanctuaires oubliés, Sanuki est renommée pour ses chevaux rapides et robustes. Les émissaires s’y rendent pour négocier montures de guerre, messagers ou montures sacrées. C’est aussi une terre de festivals éclatants et de compétitions féroces.",0,Hosokawa (細川),Hosokawa (細川)
Ile d’Awaji,"Pont vivant entre Shikoku et Honshū, Awaji est stratégiquement vitale et toujours convoitée. Les vents y sont brutaux, les détroits traîtres, et les seigneurs prudents. Ses collines cachent des fortins, ses criques des repaires, et ses chemins sont surveillés par des yeux invisibles.",0,,
Ile de Shōdoshima,"Île montagneuse et sauvage, jadis sanctuaire, aujourd’hui repaire des pirates Wako. Ses ports semblent paisibles, mais ses criques abritent des embarcations rapides prêtes à fondre sur les convois marchands. Les autorités ferment souvent les yeux, car même le vice paie tribut.",0,Wako (和光),Wako (和光)
Plaines du Kansai,"Étendue fertile au cœur du Japon, les Plaines du Kansai sont bordées par la cité animée d’Osaka, les sanctuaires anciens de Wakayama, et les ports marchands de Kobe. Sous la surface prospère de ses rizières, le sang versé à Kyōto imprègne encore la terre, témoignant des intrigues et batailles passées. Ici, le commerce rivalise avec les complots, et les vents chargés de cendres et de parfums annoncent toujours un nouvel orage de pouvoir.",1,Ashikaga (足利),Ashikaga (足利)
Cité impériale de Kyōto,"Capitale impériale, centre des arts, des lettres et des poisons subtils. Ses palais cachent les plus anciennes lignées, ses ruelles, les complots les plus jeunes. Kyōto ne brandit pas l’épée, mais ceux qui y règnent peuvent faire plier des provinces entières par un sourire ou un silence.",1,Ashikaga (足利),Ashikaga (足利)
